Title,Year,Duration,Rating,Gross,Genre
Spider-Man 3,2007,139 min,6.3,$336.53M,"Action, Adventure, Sci-Fi"
The Secret Life of Pets,2016,87 min,6.5,$368.38M,"Animation, Adventure, Comedy"
Ice Age: Dawn of the Dinosaurs,2009,94 min,6.9,$196.57M,"Animation, Adventure, Comedy"
Spectre,2015,148 min,6.8,$200.07M,"Action, Adventure, Thriller"
Spider-Man: Homecoming,2017,133 min,7.4,$334.20M,"Action, Adventure, Sci-Fi"
Ice Age: Continental Drift,2012,88 min,6.5,$161.32M,"Animation, Adventure, Comedy"
Batman v Superman: Dawn of Justice,2016,151 min,6.4,$330.36M,"Action, Adventure, Sci-Fi"
Zhan lang II,2017,123 min,5.9,$2.72M,"Action, Adventure, Drama"
Star Wars: Episode III - Revenge of the Sith,2005,140 min,7.6,$380.26M,"Action, Adventure, Fantasy"
The Hunger Games: Catching Fire,2013,146 min,7.5,$424.67M,"Action, Adventure, Sci-Fi"
Guardians of the Galaxy Vol. 2,2017,136 min,7.6,$389.81M,"Action, Adventure, Comedy"
Inside Out,2015,95 min,8.1,$356.46M,"Animation, Adventure, Comedy"
Venom,2018,112 min,6.6,$213.52M,"Action, Adventure, Sci-Fi"
Thor: Ragnarok,2017,130 min,7.9,$315.06M,"Action, Adventure, Comedy"
The Twilight Saga: Breaking Dawn - Part 2,2012,115 min,5.5,$292.30M,"Adventure, Drama, Fantasy"
Inception,2010,148 min,8.8,$292.58M,"Action, Adventure, Sci-Fi"
Transformers: Revenge of the Fallen,2009,149 min,5.9,$402.11M,"Action, Adventure, Sci-Fi"
Spider-Man,2002,121 min,7.4,$403.71M,"Action, Adventure, Sci-Fi"
Black Panther: Wakanda Forever,2022,161 min,6.7,$453.72M,"Action, Adventure, Drama"
Wonder Woman,2017,141 min,7.4,$412.56M,"Action, Adventure, Fantasy"
"Ni hao, Li Huanying",2021,128 min,7,,"Comedy, Romance"
Independence Day,1996,145 min,7,$306.17M,"Action, Adventure, Sci-Fi"
Fantastic Beasts and Where to Find Them,2016,132 min,7.2,$234.04M,"Adventure, Family, Fantasy"
Shrek the Third,2007,93 min,6.1,$320.71M,"Animation, Adventure, Comedy"
Coco,2017,105 min,8.4,$209.73M,"Animation, Adventure, Comedy"
Jumanji: The Next Level,2019,123 min,6.7,$316.83M,"Action, Adventure, Comedy"
Harry Potter and the Prisoner of Azkaban,2004,142 min,7.9,$249.36M,"Adventure, Family, Fantasy"
Pirates of the Caribbean: Dead Men Tell No Tales,2017,129 min,6.5,$172.56M,"Action, Adventure, Fantasy"
E.T. the Extra-Terrestrial,1982,115 min,7.9,$435.11M,"Adventure, Family, Sci-Fi"
Mission: Impossible - Fallout,2018,147 min,7.7,$220.16M,"Action, Adventure, Thriller"
2012,2009,158 min,5.8,$166.11M,"Action, Adventure, Sci-Fi"
Indiana Jones and the Kingdom of the Crystal Skull,2008,122 min,6.2,$317.10M,"Action, Adventure"
Spider-Man 2,2004,127 min,7.4,$373.59M,"Action, Adventure, Sci-Fi"
Furious 6,2013,130 min,7,$238.68M,"Action, Adventure, Crime"
Deadpool 2,2018,119 min,7.6,$324.59M,"Action, Adventure, Comedy"
Deadpool,2016,108 min,8,$363.07M,"Action, Comedy"
Star Wars,1977,121 min,8.6,$322.74M,"Action, Adventure, Fantasy"
No Time to Die,2021,163 min,7.3,$160.87M,"Action, Adventure, Thriller"
Interstellar,2014,169 min,8.6,$188.02M,"Adventure, Drama, Sci-Fi"
Guardians of the Galaxy,2014,121 min,8,$333.18M,"Action, Adventure, Comedy"
The Batman,2022,176 min,7.8,$369.35M,"Action, Crime, Drama"
Thor: Love and Thunder,2022,118 min,6.2,$343.26M,"Action, Adventure, Comedy"
Fast & Furious Presents: Hobbs & Shaw,2019,137 min,6.5,$173.96M,"Action, Adventure, Thriller"
The Da Vinci Code,2006,149 min,6.6,$217.54M,"Mystery, Thriller"
